SOURCE	CODE4	n_events	n_patients
CANC	NA	111438	90303
DEATH	NA	116907	50703
INPAT	(-1,0]	495213	172136
INPAT	(0,1]	1228356	286936
INPAT	(1,2]	978411	265899
INPAT	(2,3]	717579	226081
INPAT	(3,4]	592491	196094
INPAT	(4,5]	413085	156145
INPAT	(5,10]	1130807	245932
INPAT	(10,50]	764508	148043
INPAT	(50,100]	66323	22550
INPAT	(100, Inf]	36710	12277
INPAT	NA	1314	914
OPER_IN	(-1,0]	52604	18325
OPER_IN	(0,1]	169425	45944
OPER_IN	(1,2]	117394	31443
OPER_IN	(2,3]	87022	22939
OPER_IN	(3,4]	64387	15677
OPER_IN	(4,5]	47375	11018
OPER_IN	(5,10]	147084	22848
OPER_IN	(10,50]	144770	12048
OPER_IN	(50,100]	18081	680
OPER_IN	(100, Inf]	10006	211
OPER_IN	NA	3544811	333994
OPER_OUT	NA	12050895	391239
OUTPAT	NA	30499658	418892
PRIM_OUT	NA	72768036	405656
PURCH	(-1,0]	1971	1751
PURCH	(0,1]	86212425	428379
PURCH	(1,2]	11971201	394861
PURCH	(2,3]	4561252	273407
PURCH	(3,4]	1480527	135490
PURCH	(4,5]	396512	63838
PURCH	(5,10]	686410	72775
PURCH	(10,50]	119972	15732
PURCH	(50,100]	2222	333
PURCH	(100, Inf]	718	87
REIMB	NA	696178	250978
