SOURCE	vocabulary	event_year	n_events	n_patients
INPAT	10EX	2022	96	65
INPAT	8	1967	8	6
INPAT	8	1968	114	94
INPAT	8	1969	4435	3283
INPAT	8	1970	6138	4491
INPAT	8	1971	9510	6687
INPAT	8	1972	41470	25767
INPAT	8	1973	42304	27113
INPAT	8	1974	42340	27685
INPAT	8	1975	39174	25925
INPAT	8	1976	38659	25565
INPAT	8	1977	49125	31599
INPAT	8	1978	52383	32998
INPAT	8	1979	53990	33940
INPAT	8	1980	56724	34707
INPAT	8	1981	60445	36457
INPAT	8	1982	61410	37113
INPAT	8	1983	62441	37528
INPAT	8	1984	62844	37750
INPAT	8	1985	68668	40874
INPAT	8	1986	66539	41445
INPAT	8	1987	246	212
INPAT	8EX	1985	60	60
INPAT	8EX	1986	3514	3032
INPAT	8EX	1987	14	14
INPAT	9	1979	12	10
INPAT	9	1980	13	10
INPAT	9	1981	14	10
INPAT	9	1982	11	8
INPAT	9	1983	11	11
INPAT	9	1984	30	22
INPAT	9	1985	66	48
INPAT	9	1986	1471	1130
INPAT	9	1987	71374	43522
INPAT	9	1988	76172	45607
INPAT	9	1989	78281	46454
INPAT	9	1990	80341	47129
INPAT	9	1991	83896	47973
INPAT	9	1992	91902	50773
INPAT	9	1993	97474	51722
INPAT	9	1994	102315	54660
INPAT	9	1995	101158	54324
INPAT	9	1996	451	370
INPAT	9EX	1986	67	67
INPAT	9EX	1987	4049	3485
INPAT	9EX	1988	4118	3576
INPAT	9EX	1989	4202	3582
INPAT	9EX	1990	5038	4209
INPAT	9EX	1991	4465	3762
INPAT	9EX	1992	3916	3381
INPAT	9EX	1993	4410	3679
INPAT	9EX	1994	5368	4398
INPAT	9EX	1995	5123	4206
INPAT	9EX	1996	31	31
OPER_IN	HPN	2005	39	30
OPER_IN	HPN	2006	5273	3075
OPER_IN	HPN	2007	6844	3954
OPER_IN	HPN	2008	4791	2814
OPER_IN	HPN	2009	3995	2336
OPER_IN	HPN	2010	3970	2378
OPER_IN	HPN	2011	4760	2816
OPER_IN	HPN	2012	4788	2837
OPER_IN	HPN	2013	4662	2717
OPER_IN	HPN	2014	4777	2671
OPER_IN	HPN	2015	5019	2865
OPER_IN	HPN	2016	3951	2267
OPER_IN	HPN	2017	1471	975
OPER_IN	HPN	2018	1229	871
OPER_IN	HPN	2019	2334	1686
OPER_IN	HPN	2020	9	7
OPER_IN	HPO	1994	21	19
OPER_IN	HPO	1995	1508	908
OPER_IN	HPO	1996	2062	1170
OPER_IN	HPO	1997	2168	1246
OPER_IN	HPO	1998	2011	1205
OPER_IN	HPO	1999	2224	1313
OPER_IN	HPO	2000	2416	1456
OPER_IN	HPO	2001	2885	1682
OPER_IN	HPO	2002	3235	1924
OPER_IN	HPO	2003	3549	2121
OPER_IN	HPO	2004	3490	2145
OPER_IN	HPO	2005	3411	2178
OPER_IN	HPO	2006	468	324
OPER_IN	MFHL	1986	369	307
OPER_IN	MFHL	1987	28511	21948
OPER_IN	MFHL	1988	29821	22937
OPER_IN	MFHL	1989	30399	23406
OPER_IN	MFHL	1990	31667	24235
OPER_IN	MFHL	1991	32684	25017
OPER_IN	MFHL	1992	35680	26806
OPER_IN	MFHL	1993	37603	27912
OPER_IN	MFHL	1994	40347	29458
OPER_IN	MFHL	1995	40340	29275
OPER_IN	MFHL	1996	172	147
OPER_IN	NOM	1995	158	129
OPER_IN	NOM	1996	17148	12031
OPER_IN	NOM	1997	52463	33675
OPER_IN	NOM	1998	49519	27789
OPER_IN	NOM	1999	55819	26727
OPER_IN	NOM	2000	58780	26411
OPER_IN	NOM	2001	65389	24623
OPER_IN	NOM	2002	64903	25964
OPER_IN	NOM	2003	67617	25827
OPER_IN	NOM	2004	77344	27683
OPER_IN	NOM	2005	99684	30165
OPER_IN	NOM	2006	102663	29519
OPER_IN	NOM	2007	107695	29687
OPER_IN	NOM	2008	111653	29929
OPER_IN	NOM	2009	123770	31549
OPER_IN	NOM	2010	159340	33525
OPER_IN	NOM	2011	184430	35028
OPER_IN	NOM	2012	192691	35636
OPER_IN	NOM	2013	204449	35478
OPER_IN	NOM	2014	210991	36245
OPER_IN	NOM	2015	210287	37757
OPER_IN	NOM	2016	234996	40551
OPER_IN	NOM	2017	322171	46778
OPER_IN	NOM	2018	356064	50004
OPER_IN	NOM	2019	314444	54809
OPER_IN	NOM	2020	271025	48446
OPER_IN	NOM	2021	268870	46575
OPER_IN	NOM	2022	916	264
OPER_IN	SFHL	1985	325	283
OPER_IN	SFHL	1986	22337	17437
OPER_IN	SFHL	1987	63	54
OPER_OUT	HPN	2006	605	451
OPER_OUT	HPN	2007	307	250
OPER_OUT	HPN	2008	381	330
OPER_OUT	HPN	2009	4119	668
OPER_OUT	HPN	2010	4411	764
OPER_OUT	HPN	2011	2907	606
OPER_OUT	HPN	2012	3090	560
OPER_OUT	HPN	2013	3239	549
OPER_OUT	HPN	2014	908	619
OPER_OUT	HPN	2015	1218	693
OPER_OUT	HPN	2016	691	510
OPER_OUT	HPN	2017	358	250
OPER_OUT	HPN	2018	432	330
OPER_OUT	HPN	2019	117	110
OPER_OUT	HPO	1998	30	17
OPER_OUT	HPO	1999	71	40
OPER_OUT	HPO	2000	55	40
OPER_OUT	HPO	2001	36	29
OPER_OUT	HPO	2002	51	34
OPER_OUT	HPO	2003	28	19
OPER_OUT	HPO	2004	49	39
OPER_OUT	HPO	2005	178	153
OPER_OUT	HPO	2006	6	6
OPER_OUT	NOM	1997	484	378
OPER_OUT	NOM	1998	69154	34659
OPER_OUT	NOM	1999	69704	34794
OPER_OUT	NOM	2000	74896	36311
OPER_OUT	NOM	2001	75528	35635
OPER_OUT	NOM	2002	85387	39302
OPER_OUT	NOM	2003	91378	41092
OPER_OUT	NOM	2004	104287	43435
OPER_OUT	NOM	2005	161017	57199
OPER_OUT	NOM	2006	175970	56451
OPER_OUT	NOM	2007	230453	59377
OPER_OUT	NOM	2008	276223	65060
OPER_OUT	NOM	2009	405737	86047
OPER_OUT	NOM	2010	476790	93335
OPER_OUT	NOM	2011	507529	98175
OPER_OUT	NOM	2012	572170	107892
OPER_OUT	NOM	2013	647254	116853
OPER_OUT	NOM	2014	707496	121098
OPER_OUT	NOM	2015	774604	127407
OPER_OUT	NOM	2016	827786	138160
OPER_OUT	NOM	2017	1086682	154531
OPER_OUT	NOM	2018	1416938	170767
OPER_OUT	NOM	2019	1098400	171086
OPER_OUT	NOM	2020	1041134	165530
OPER_OUT	NOM	2021	1042433	162457
OPER_OUT	NOM	2022	8172	3552
OUTPAT	10	1997	3308	2657
OUTPAT	10	1998	449648	115991
OUTPAT	10	1999	454674	118165
OUTPAT	10	2000	484536	123712
OUTPAT	10	2001	504620	124548
OUTPAT	10	2002	534781	127579
OUTPAT	10	2003	551393	128780
OUTPAT	10	2004	603894	134254
OUTPAT	10	2005	671334	138817
OUTPAT	10	2006	741483	146298
OUTPAT	10	2007	793213	150169
OUTPAT	10	2008	823094	154486
OUTPAT	10	2009	874381	157403
OUTPAT	10	2010	961569	162324
OUTPAT	10	2011	1053372	171935
OUTPAT	10	2012	1133451	176517
OUTPAT	10	2013	1299925	181090
OUTPAT	10	2014	1366251	184988
OUTPAT	10	2015	1948838	193381
OUTPAT	10	2016	2194874	201941
OUTPAT	10	2017	2024879	216058
OUTPAT	10	2018	2417156	230121
OUTPAT	10	2019	2635904	239731
OUTPAT	10	2020	2458340	240381
OUTPAT	10	2021	2769078	252782
OUTPAT	10	2022	32227	8891
OUTPAT	10EX	1998	309	303
OUTPAT	10EX	1999	465	451
OUTPAT	10EX	2000	584	571
OUTPAT	10EX	2001	3198	2758
OUTPAT	10EX	2002	2962	2598
OUTPAT	10EX	2003	3298	2901
OUTPAT	10EX	2004	2499	2074
OUTPAT	10EX	2005	8919	5663
OUTPAT	10EX	2006	11924	6576
OUTPAT	10EX	2007	16540	8569
OUTPAT	10EX	2008	21208	10203
OUTPAT	10EX	2009	23984	11284
OUTPAT	10EX	2010	24778	11570
OUTPAT	10EX	2011	28539	13750
OUTPAT	10EX	2012	31855	15501
OUTPAT	10EX	2013	26856	13202
OUTPAT	10EX	2014	35378	16281
OUTPAT	10EX	2015	48643	18745
OUTPAT	10EX	2016	56543	20380
OUTPAT	10EX	2017	63696	21726
OUTPAT	10EX	2018	95955	27031
OUTPAT	10EX	2019	71262	26156
OUTPAT	10EX	2020	58068	23298
OUTPAT	10EX	2021	75153	28372
OUTPAT	10EX	2022	818	489
PRIM_OUT	ICD	2010	3580	2874
PRIM_OUT	ICD	2011	469032	154937
PRIM_OUT	ICD	2012	707011	183397
PRIM_OUT	ICD	2013	982969	203556
PRIM_OUT	ICD	2014	926246	214443
PRIM_OUT	ICD	2015	958466	220099
PRIM_OUT	ICD	2016	1151821	225441
PRIM_OUT	ICD	2017	1236411	232825
PRIM_OUT	ICD	2018	1297694	234892
PRIM_OUT	ICD	2019	1337177	236070
PRIM_OUT	ICD	2020	1531599	271515
PRIM_OUT	ICD	2021	1758868	294758
PRIM_OUT	ICD	2022	14973	10064
PRIM_OUT	ICP	2010	3488	2491
PRIM_OUT	ICP	2011	512243	118093
PRIM_OUT	ICP	2012	1075241	176841
PRIM_OUT	ICP	2013	1534395	200113
PRIM_OUT	ICP	2014	1691896	215398
PRIM_OUT	ICP	2015	1870164	224568
PRIM_OUT	ICP	2016	2194777	236970
PRIM_OUT	ICP	2017	2365870	241660
PRIM_OUT	ICP	2018	2436296	235178
PRIM_OUT	ICP	2019	2638673	229534
PRIM_OUT	ICP	2020	2671155	228396
PRIM_OUT	ICP	2021	3545845	317245
PRIM_OUT	ICP	2022	42557	18766
PRIM_OUT	MOP	2010	6799	2159
PRIM_OUT	MOP	2011	752811	95771
PRIM_OUT	MOP	2012	903784	111612
PRIM_OUT	MOP	2013	963174	116672
PRIM_OUT	MOP	2014	1013905	122201
PRIM_OUT	MOP	2015	1101412	128636
PRIM_OUT	MOP	2016	1012051	132635
PRIM_OUT	MOP	2017	848870	136108
PRIM_OUT	MOP	2018	785663	136079
PRIM_OUT	MOP	2019	751017	136995
PRIM_OUT	MOP	2020	593145	120263
PRIM_OUT	MOP	2021	601768	120722
PRIM_OUT	MOP	2022	4209	1960
PRIM_OUT	OP	2010	106	78
PRIM_OUT	OP	2011	79709	25934
PRIM_OUT	OP	2012	991621	126748
PRIM_OUT	OP	2013	1581238	158898
PRIM_OUT	OP	2014	1867868	167267
PRIM_OUT	OP	2015	2148731	159400
PRIM_OUT	OP	2016	2660942	167385
PRIM_OUT	OP	2017	3000242	170811
PRIM_OUT	OP	2018	3251107	163409
PRIM_OUT	OP	2019	3823077	164879
PRIM_OUT	OP	2020	4162675	173474
PRIM_OUT	OP	2021	4851947	220175
PRIM_OUT	OP	2022	51718	10117
PURCH	purch	1992	3894	2570
PURCH	purch	1993	1123035	218625
PURCH	purch	1994	1421496	236417
PURCH	purch	1995	1585661	253266
PURCH	purch	1996	1719056	258592
PURCH	purch	1997	1840457	265096
PURCH	purch	1998	1972893	267341
PURCH	purch	1999	2069925	271875
PURCH	purch	2000	2183507	277460
PURCH	purch	2001	2293963	281890
PURCH	purch	2002	2416045	283230
PURCH	purch	2003	2471336	282316
PURCH	purch	2004	2594798	281708
PURCH	purch	2005	2668582	284266
PURCH	purch	2006	3125975	309247
PURCH	purch	2007	3491648	322880
PURCH	purch	2008	3787259	327869
PURCH	purch	2009	4045450	330044
PURCH	purch	2010	4190396	333922
PURCH	purch	2011	4329002	337588
PURCH	purch	2012	4528422	338733
PURCH	purch	2013	4467368	338623
PURCH	purch	2014	4617033	340251
PURCH	purch	2015	4975565	340537
PURCH	purch	2016	5330271	341443
PURCH	purch	2017	5743863	343314
PURCH	purch	2018	6127632	345586
PURCH	purch	2019	6499212	345645
PURCH	purch	2020	6733256	340752
PURCH	purch	2021	6976845	337866
PURCH	purch	2022	99375	39034
REIMB	10	1995	237	233
REIMB	10	1996	9134	8579
REIMB	10	1997	9267	8682
REIMB	10	1998	9046	8483
REIMB	10	1999	9977	9265
REIMB	10	2000	16912	14496
REIMB	10	2001	14306	12200
REIMB	10	2002	13941	11982
REIMB	10	2003	13804	11962
REIMB	10	2004	13685	11874
REIMB	10	2005	14415	12560
REIMB	10	2006	13888	11968
REIMB	10	2007	14784	12644
REIMB	10	2008	15385	13132
REIMB	10	2009	15211	13194
REIMB	10	2010	16052	13905
REIMB	10	2011	18396	15958
REIMB	10	2012	17070	14711
REIMB	10	2013	18168	15522
REIMB	10	2014	18780	15980
REIMB	10	2015	20514	16827
REIMB	10	2016	74307	56147
REIMB	10	2017	33079	23234
REIMB	10	2018	48067	33692
REIMB	10	2019	46147	28058
REIMB	10	2020	45719	26652
REIMB	10	2021	46526	26591
REIMB	10	2022	422	270
REIMB	8	1964	527	517
REIMB	8	1965	353	348
REIMB	8	1966	278	267
REIMB	8	1967	343	338
REIMB	8	1968	378	370
REIMB	8	1969	473	463
REIMB	8	1970	1167	1110
REIMB	8	1971	1025	993
REIMB	8	1972	1271	1210
REIMB	8	1973	1542	1473
REIMB	8	1974	2043	1947
REIMB	8	1975	2413	2328
REIMB	8	1976	2181	2109
REIMB	8	1977	1913	1847
REIMB	8	1978	1974	1915
REIMB	8	1979	2067	2018
REIMB	8	1980	2136	2091
REIMB	8	1981	2154	2110
REIMB	8	1982	2405	2349
REIMB	8	1983	2476	2410
REIMB	8	1984	2529	2480
REIMB	8	1985	3057	2964
REIMB	8	1986	5989	5555
REIMB	8	1987	39	38
REIMB	9	1986	66	65
REIMB	9	1987	5202	4938
REIMB	9	1988	5950	5632
REIMB	9	1989	6587	6230
REIMB	9	1990	7728	7309
REIMB	9	1991	9362	8802
REIMB	9	1992	8976	8477
REIMB	9	1993	9405	8799
REIMB	9	1994	6832	6441
REIMB	9	1995	8015	7543
REIMB	9	1996	83	81
